Date,Activity,Steps
17-May,Walk ,1397
17-May,Run ,21190
16-May,Walk ,5725
16-May,Walk ,5813
16-May,Walk ,1759
16-May,Walk ,4381
16-May,Run ,5355
15-May,Walk ,9897
15-May,Run ,8664
14-May,Walk ,3816
14-May,Run ,10257
13-May,Walk ,6927
13-May,Run,12190
12-May,Walk ,2628
12-May,Run ,12984
11-May,Run ,8656
10-May,Walk ,8073
10-May,Walk ,1420
10-May,Run ,5852
9-May,Walk ,8005
9-May,Walk ,1659
9-May,Run ,11993
8-May,Walk ,7675
8-May,Run ,7071
7-May,Walk ,7837
7-May,Run ,8893
6-May,Walk ,10558
6-May,Run ,7163
5-May,Walk ,9343
5-May,Run ,8268
4-May,Walk ,8586
4-May,Run ,9358
3-May,Walk ,4710
3-May,Walk ,7014
3-May,Walk ,3784
3-May,Run ,8971
2-May,Walk ,2387
2-May,Walk ,1608
2-May,Run ,6464
1-May,Walk ,8558
1-May,Run ,10521
30-Apr,Walk ,12856
30-Apr,Run ,7130
29-Apr,Walk ,9071
29-Apr,Run ,7702
28-Apr,Walk ,8583
28-Apr,Run ,6441
27-Apr,Walk ,7658
27-Apr,Walk ,3360
27-Apr,Run ,7666
26-Apr,Run ,6581
25-Apr,Walk ,7685
25-Apr,Walk ,6409
25-Apr,Run ,6992
24-Apr,Walk ,10408
24-Apr,Walk ,2766
24-Apr,Run ,10981
23-Apr,Walk ,10035
23-Apr,Walk ,3357
23-Apr,Run ,9137
22-Apr,Walk ,5367
22-Apr,Run ,6935
21-Apr,Walk ,7491
21-Apr,Run,5742
20-Apr,Walk ,4681
20-Apr,Walk ,3945
20-Apr,Run ,7897
19-Apr,Walk ,6948
19-Apr,Run ,2761
19-Apr,Walk ,2546
19-Apr,Run ,5490
18-Apr,Walk ,9070
18-Apr,Walk ,10239
17-Apr,Walk ,7305
17-Apr,Walk ,2615
17-Apr,Run ,8480
16-Apr,Walk ,7280
16-Apr,Walk ,7014
16-Apr,Run ,6135
15-Apr,Walk ,8881
15-Apr,Walk ,4045
15-Apr,Run ,7046
14-Apr,Walk ,10143
14-Apr,Run ,5955
13-Apr,Run ,6185
12-Apr,Walk ,7051
12-Apr,Walk ,3721
12-Apr,Run ,7626
11-Apr,Walk ,5674
11-Apr,Run ,5687
9-Apr,Walk ,9683
9-Apr,Walk ,2152
9-Apr,Run ,7613
8-Apr,Walk ,8725
8-Apr,Run ,5711
7-Apr,Walk ,4743
7-Apr,Walk ,1772
7-Apr,Run ,4344
6-Apr,Run ,4580
6-Apr,Walk ,8488
5-Apr,Walk ,4446
5-Apr,Run ,3862
5-Apr,Walk ,11376
4-Apr,Walk ,9061
4-Apr,Walk ,2255
4-Apr,Run ,5878
4-Apr,Walk ,2222
3-Apr,Walk ,8847
3-Apr,Walk ,3872
2-Apr,Walk ,8229
2-Apr,Walk ,2091
2-Apr,Run ,5838
1-Apr,Walk ,9336
31-Mar,Run ,7632
30-Mar,Walk ,4463
30-Mar,Run ,6496
29-Mar,Walk ,6434
29-Mar,Walk ,1257
29-Mar,Walk ,4490
28-Mar,Walk ,8443
28-Mar,Walk ,6583
27-Mar,Walk ,7333
26-Mar,Walk ,5210
25-Mar,Walk ,9988
25-Mar,Walk ,1870
25-Mar,Run ,5738
24-Mar,Walk ,7718
24-Mar,Walk ,4139
24-Mar,Run ,5052
23-Mar,Walk ,8388
23-Mar,Walk ,2528
23-Mar,Run ,5787
22-Mar,Walk ,8591
22-Mar,Run ,6016
21-Mar,Run ,5483
20-Mar,Walk ,3498
20-Mar,Walk ,2512
20-Mar,Run ,7541
19-Mar,Walk ,8185
19-Mar,Run ,5839
18-Mar,Run ,7688
18-Mar,Walk ,2862
18-Mar,Run ,3502
17-Mar,Walk ,1920
17-Mar,Walk ,8662
16-Mar,Walk ,8076
